,id,name
0,CQR,"National currency, current prices, quarterly levels"
1,VNBQR,"National currency, constant prices, national base year, quarterly levels"
2,CARSA,"National currency, current prices, annual levels, seasonally adjusted"
3,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted"
4,CQRSA,"National currency, current prices, quarterly levels, seasonally adjusted"
5,DOBSA,"Deflator, OECD reference year, seasonally adjusted"
6,GPSA,"Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter"
7,GYSA,"Growth rate based on seasonally adjusted volume data,  percentage change on the same quarter of the previous year"
8,VIXOBSA,"Volume index, OECD reference year, seasonally adjusted"
9,VNBQRSA,"National currency, constant prices, national base year, quarterly levels, seasonally adjusted"
10,VOBARSA,"National currency, volume estimates, OECD reference year, annual levels, seasonally adjusted"
11,VPVOBARSA,"US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted"
12,CD,National currency per US Dollar
13,GCUMSA,"Cumulative growth based on seasonally adjusted volume data, percentage change on Q4-2019"
