country,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU
subject,B11,B11,B11,B11,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVK,B1GVL,B1GVL,B1GVL,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVR_U,B1GVR_U,B1GVR_U,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GS1,B5_GS1,B8GS1,D1_D4FRS2,D1_D4NFRS2,D1_D4TOS2,D21_D31,D21_D31,D21_D31,D5_D7TOS2,P3,P3,P3,P3,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S1,P3S13,P3S13,P3S13,P3S13,P3_P5,P3_P5,P3_P51,P3_P51,P3_P6,P3_P6,P5,P5,P5,P5,P51,P51,P51,P51,P52_P53,P52_P53,P52_P53,P52_P53,P5S1,P6,P6,P6,P6,P61,P61,P62,P62,P7,P7,P7,P7,P71,P71,P72,P72,POPNC,PPPGDP,RB1_GE,RB1_GE,RB1_GE,RB1_GE
measure,CQR,CQRSA,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQR,CQR,CQR,CQR,CQR,CQR,VNBQR,VNBQRSA,CQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,CQR,CQRSA,PER,CD,CQR,CQRSA,VNBQR,VNBQRSA
unit,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,US Dollar,Saudi Riyal,Saudi Riyal,Index,Percentage,Percentage,US Dollar,US Dollar,Index,Saudi Riyal,Saudi Riyal,Saudi Riyal,US Dollar,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Persons,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Billions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Billions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Thousands,Units,Millions,Millions,Millions,Millions
reference_period,,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,,,,2015,,,,2015,2015,2010,2010,2015,2015,,,,,,,,2010,2010,,,,2010,2010,,,2010,2010,,,,2010,2010,,2010,,2010,,2010,,,2010,2010,,,2010,2010,,,2010,2010,,,,2010,2010,,,,,,,2010,2010,,,,,,,,,2010,2010
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84662,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8004,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78025,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7495,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74186,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7689,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81429,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82819,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70486,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79576,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86332,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8304,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86636,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86928,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94015,,,,
2005,395661.0,395661.0,,,,,,39640.8,,,,,,117466.3,,,58380.2,,,77121.5,,,229036.7,,,43576.4,,,56005.4,,,52333.4,,,,,,,,,1230771.4,,,1230.77,1123744.1,1230771.4,1230771.4,,,,,,,,,,,1230771.4,,,,,,,,,,586804.2,586804.2,,,324154.2,324154.2,,,,262650.0,262650.0,,,835110.4,,824494.4,,1537274.4,,248306.3,248306.3,,,237690.3,237690.3,,,10616.0,10616.0,,,,702164.0,702164.0,,,677144.0,677144.0,25020.0,25020.0,306503.0,306503.0,,,222985.0,222985.0,83518.0,83518.0,,1.09524,10616.0,10616.0,,
2006,419484.0,419484.0,,,,,,41619.0,,,,,,135471.3,,,64635.5,,,91203.0,,,263248.7,,,49813.0,,,66189.9,,,56042.7,,,,,,,,,1411491.4,,,1411.49,1190719.7,1411491.4,1411491.4,,,,,,,,,,,1411491.4,1425853.2,552028.7,39252.8,14361.8,24891.0,,,,62843.5,678441.9,678441.9,,,367359.9,367359.9,,,678441.9,311082.0,311082.0,,,992007.4,,967122.3,,1836529.4,,313565.5,313565.5,,,288680.4,288680.4,,,24885.0,24885.0,,,313565.5,844522.0,844522.0,,,791338.0,791338.0,53184.0,53184.0,425038.0,425038.0,,,261401.6,261401.6,163636.4,163636.4,,1.18541,24885.0,24885.0,,
2007,389886.0,389886.0,,,,,,43182.8,,,,,,154959.3,,,74324.9,,,110366.7,,,308219.6,,,61040.6,,,75699.8,,,61112.4,,,,,,,,,1558827.5,,,1558.83,1245487.6,1558827.5,1558827.5,,,,,,,,,,,1558827.5,1582798.6,616282.7,56730.1,23971.1,32759.0,,,,63869.2,756272.8,756272.8,,,434186.8,434186.8,,,756272.8,322086.0,322086.0,,,1168941.5,,1124960.0,,2103261.5,,412668.7,412668.7,,,368687.2,368687.2,,,43981.5,43981.5,,,412668.7,934320.0,934320.0,,,874403.0,874403.0,59917.0,59917.0,544434.0,544434.0,,,338088.6,338088.6,206345.4,206345.4,,1.25158,43981.5,43981.5,,
2008,548133.0,548133.0,,,,,,45161.3,,,,,,175100.9,,,79681.0,,,133338.2,,,364416.7,,,77774.3,,,84033.5,,,69270.6,,,,,,,,,1949238.3,,,1949.24,1348708.5,1949238.3,1949238.3,,,,,,,,,,,1949238.3,1983606.6,845234.6,80618.3,34368.3,46249.9,,,,86293.9,869044.6,869044.6,,,523946.6,523946.6,,,869044.6,345098.0,345098.0,,,1401105.3,,1313543.3,,2611806.3,,532060.7,532060.7,,,444498.7,444498.7,,,87562.0,87562.0,,,532060.7,1210701.0,1210701.0,,,1175552.0,1175552.0,35149.0,35149.0,662568.0,662568.0,,,431752.7,431752.7,230815.3,230815.3,,1.44526,87562.0,87562.0,,
2009,149952.4,149952.4,,,,,,45925.6,,,,,,174599.8,,,80378.8,,,147835.5,,,408005.2,,,88869.8,,,92485.6,,,78814.4,,,,,,,,,1609117.0,,,1609.12,1329401.4,1609117.0,1609117.0,,,,,,,,,,,1609117.0,1641515.5,437819.6,74070.2,32398.5,41671.7,,,,103772.2,948827.6,948827.6,,,591812.6,591812.6,,,948827.6,357015.0,357015.0,,,1459164.6,,1363280.6,,2216875.6,,510337.0,510337.0,,,414453.0,414453.0,,,95884.0,95884.0,,,510337.0,757711.0,757711.0,,,721152.0,721152.0,36559.0,36559.0,607758.6,607758.6,,,358289.6,358289.6,249469.0,249469.0,,1.21041,95884.0,95884.0,,
2010,328605.0,328605.0,328606.0,328606.0,1966108.7,1966108.7,1966108.7,51877.9,51877.9,51877.9,1060970.2,1060970.2,1060970.2,214486.2,214486.2,214486.2,88504.3,88504.3,88504.3,167096.5,167096.5,167096.5,764756.2,764756.2,764756.2,99446.2,99446.2,99446.2,93601.4,93601.4,93601.4,87440.2,87440.2,87440.2,280863.0,280863.0,280863.0,36309.0,36309.0,36309.0,1980777.4,1980777.4,1980777.4,1980.78,1413178.1,1980777.4,1980777.4,103.413283976,,,51356.8,43743.1,76.293513982,1980777.4,1980777.4,1915.4,1203672.2,1980777.4,2007192.0,676903.3,68143.2,26414.7,41728.5,14668.7,14668.7,14668.7,104703.3,1039590.4,1039590.4,1039590.4,1039590.4,639417.4,639417.4,639417.4,639417.4,1039590.4,400173.0,400173.0,400173.0,400173.0,1652172.4,1652171.4,1523511.4,1523511.4,2634038.4,2634038.4,612582.0,612582.0,612581.0,612581.0,483921.0,483921.0,483921.0,483921.0,128661.0,128661.0,128660.0,128660.0,612582.0,981866.0,981866.0,981867.0,981867.0,941785.0,941785.0,40081.0,40081.0,653261.0,653261.0,653261.0,653261.0,400736.0,400736.0,252525.0,252525.0,27516.9,1.40165,128661.0,128661.0,128660.0,128660.0
2011,668426.0,668426.0,392695.1,392695.1,2520094.7,2181974.3,2181974.3,54684.7,54592.4,54592.4,1495851.8,1195051.2,1195051.2,252051.9,237642.4,237642.4,107019.2,99737.4,99737.4,197948.6,188277.6,188277.6,862539.0,832593.4,832593.4,115273.6,115174.8,115174.8,98340.1,95570.1,95570.1,96712.6,90366.4,90366.4,312308.0,302941.2,302941.2,41956.1,40263.3,40263.3,2537379.7,2198539.3,2198539.3,2537.38,1599503.8,2537379.7,2537379.7,119.351408649,10.993761629,10.993761629,56578.2,47257.5,84.681041047,2198539.3,2198539.3,2125.97,1336001.0,2537379.7,2573694.1,1054847.0,74121.4,36315.4,37806.0,17285.0,16565.0,16565.0,110326.9,1170131.3,1170131.3,1117215.8,1117215.8,682069.3,682069.3,650728.9,650728.9,1170131.3,488062.0,488062.0,466486.9,466486.9,1848720.0,1786097.7,1738615.8,1676617.2,3259561.0,2867783.9,698822.3,698822.3,688628.4,688628.4,568828.3,568828.3,559578.5,559578.5,129994.0,129994.0,129049.8,129049.8,698821.3,1410841.0,1410841.0,1081686.2,1081686.2,1367620.0,1367620.0,43221.0,43221.0,742415.0,742415.0,688991.1,688991.1,493449.1,493449.1,248965.9,248965.9,28270.7,1.58635,129994.0,129994.0,129049.8,129049.8
2012,690800.9,690800.9,376585.4,376585.4,2760443.4,2298314.3,2298314.3,57611.9,56314.9,56314.9,1612100.0,1254495.0,1254495.0,270597.4,247646.7,247646.7,118496.4,104484.0,104484.0,219342.5,199797.7,199797.7,972235.2,883020.4,883020.4,124289.4,120869.0,120869.0,108057.9,98825.4,98825.4,124368.2,101140.3,101140.3,349649.0,319281.1,319281.1,46528.1,43106.9,43106.9,2781937.4,2317862.7,2317862.7,2781.94,1685821.8,2781937.4,2781937.4,124.11834654,5.427394264,5.427394264,58154.6,48588.4,89.277015011,2317862.7,2317862.7,2241.36,1408511.0,2781937.4,2823144.2,1108787.3,88678.3,41207.3,47471.0,21494.0,19548.4,19548.4,114409.0,1338724.0,1338724.0,1232596.8,1232596.8,787545.0,787545.0,728319.9,728319.9,1338724.0,551179.0,551179.0,504276.9,504276.9,2069104.8,1920111.1,1951489.5,1818016.3,3566928.3,3038439.9,752412.5,752412.5,708680.5,708680.5,615175.0,615175.0,587603.4,587603.4,137237.5,137237.5,121077.1,121077.1,752412.0,1497823.5,1497823.5,1118328.8,1118328.8,1456386.0,1456386.0,41437.5,41437.5,807022.6,807022.6,741743.4,741743.4,583473.1,583473.1,223549.6,223549.6,28988.6,1.6502,137237.5,137237.5,121077.1,121077.1
