,id,name
0,B1_GA,Gross domestic product at market prices - output approach
1,B1_GE,Gross domestic product - expenditure approach
2,B1_GI,Gross domestic product - income approach
3,B1G,"Gross value added at basic prices, total activity"
4,B2G_B3G,Gross operating surplus and mixed income
5,D1,"Compensation of employees, total"
6,D11,"Wages and salaries, total"
7,D1S1,Compensation of employees
8,D2_D3,Taxes less subsidies on production and imports
9,D21_D31,Taxes less subsidies on products
10,D21S1,Taxes on products
11,D2S1,Taxes on production and imports
12,D31S1,Subsidies on products
13,D3S1,Subsidies on production and imports
14,EEM,"Employees, total"
15,EEMNC,Employees
16,ESE,"Self-employed, total"
17,ESENC,Self-employed
18,ETO,"Employment, total"
19,ETONC,Total employment
20,P3,Final consumption expenditure
21,P311B,Durable goods
22,P312B,Semi-durable goods
23,P312N,Other goods and services
24,P313B,Non-durable goods
25,P314B,Services
26,P31DC,Households consumption expenditure (Domestic Concept)
27,P31NC,Households consumption expenditure (National Concept)
28,P31S13,Individual consumption expenditure of general government
29,P31S14,Final consumption expenditure of households
30,P31S14_S15,Private final consumption expenditure
31,P31S14_S15B,Private final consumption expenditure by durability
32,P31S15,Final consumption expenditure of non-profit institutions serving households
33,P31S15B,Final consumption expenditure of non-profit institutions serving households
34,P32S13,Collective consumption expenditure of general government
35,P3S13,General government final consumption expenditure
36,P41,add. Actual individual consumption
37,P5,Gross capital formation
38,P51,Gross fixed capital formation
39,P51A,Gross fixed capital formation by asset
40,P52,Changes in inventories
41,P52_P53,Changes in inventories and acquisitions less disposals of valuables
42,P53,Acquisitions less disposals of valuables
43,P6,Exports of goods and services
44,P61,Exports of goods
45,P62,Exports of services
46,P7,Imports of goods and services
47,P71,Imports of goods
48,P72,Imports of services
49,POPNC,Total population
50,RB1_GA,Residual item
51,RB1_GE,Residual item
52,RB1_GI,Residual item
53,RP31DC,Residual item
54,B11,External balance of goods and services
55,P51N1111,Dwellings
56,P51N1112,Other buildings and structures
57,P51N11131,Transport equipment
58,P51N1114,Cultivated biological resources
59,P51N112,Intellectual property products
60,B1GVA,"Agriculture, forestry and fishing (ISIC Rev.4)"
61,B1GVB_E,"Industry, including energy (ISIC Rev.4)"
62,B1GVC,of which: Manufacturing (ISIC Rev.4)
63,B1GVF,Construction (ISIC Rev.4)
64,B1GVG_I,"Distrib. trade, repairs; transp.; accommod., food serv. activ. (ISIC Rev.4)"
65,B1GVG_U,Services (ISIC Rev.4)
66,B1GVJ,Information and communication (ISIC Rev.4)
67,B1GVK,Financial and insurance activities (ISIC Rev.4)
68,B1GVL,Real estate activities (ISIC Rev.4)
69,B1GVM_N,"Prof., scientif., techn. activ.; admin., support service activ.(ISIC Rev.4)"
70,B1GVO_Q,Public admin.; compulsory s.s.; education; human health (ISIC Rev.4)
71,B1GVR_U,Other service activities (ISIC Rev.4)
72,D11VA,"Agriculture, forestry and fishing (ISIC Rev.4)"
73,D11VB_E,"Industry, including energy (ISIC Rev.4)"
74,D11VC,of which: Manufacturing (ISIC Rev.4)
75,D11VF,Construction (ISIC Rev.4)
76,D11VG_I,"Distrib. trade, repairs; transp.; accommod., food serv. activ. (ISIC Rev.4)"
77,D11VJ,Information and communication (ISIC Rev.4)
78,D11VK,Financial and insurance activities (ISIC Rev.4)
79,D11VL,Real estate activities (ISIC Rev.4)
80,D11VM_N,"Prof., scientif., techn. activ.; admin., support service activ.(ISIC Rev.4)"
