country,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7,G-7
subject,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P51,P51,P51,P51,P51,P51,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,POPNC,RB1_GE,RB1_GE
measure,CPCARSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,PERSA,CPCARSA,VPVOBARSA
unit,US Dollar,Index,Percentage,Percentage,US Dollar,US Dollar,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,Persons,US Dollar,US Dollar
powercode,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Thousands,Millions,Millions
reference_period,,2015,,,,2015,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,1189630.2,15.471218399,,,,,20.99580125,7689311.5,707170.8,15.920432365,,,19.514255098,4441907.2,178842.3,9.385026008,,,30.036114704,1905613.0,293639.2,19.62203201,,,19.628537641,1496477.2,114132.7,27.979553193,,,5.248463611,407914.5,111941.7,23.992304902,,,5.785380311,466573.4,,7786.9,-96027.1
1962,1275190.1,15.68022973,5.763319,5.763318878,,,22.205856227,8132471.0,754422.0,16.125466305,5.325267976,5.325267976,20.553441476,4678450.7,196446.5,9.695363517,6.327458186,6.327458186,31.936637303,2026189.9,317501.9,19.707797642,7.655970052,7.655970052,21.131292605,1611047.1,118783.8,27.715541186,5.066640192,5.066640192,5.514384377,428582.1,117645.0,23.589025453,6.891542675,6.891542675,6.184082264,498727.5,,5680.9,-113071.2
1963,1354335.1,15.880586204,4.866572,4.866571748,,,23.286520153,8528243.6,802568.1,16.325422636,5.078869734,5.078869734,21.597323994,4916063.1,210321.3,9.955481385,4.265568,4.265568,33.298916284,2112618.4,337845.7,19.805045522,5.884964564,5.884964564,22.374861686,1705856.6,126157.6,27.852884667,5.683978401,5.683978401,5.827820794,452942.6,127334.4,23.879552897,6.919339447,6.919339447,6.611979907,533236.2,,4776.8,-126001.0
1964,1462629.2,16.140439744,6.257426,6.257426161,,,24.743656957,9061892.1,858860.1,16.518206918,5.765029363,5.765029363,22.842416064,5199475.5,222858.2,10.275301106,2.662755468,2.662755468,34.185584998,2168872.3,370539.6,19.933640008,8.969642781,8.969642781,24.381806852,1858865.9,139536.0,28.019585672,9.946504844,9.946504844,6.407485272,497994.5,137990.0,23.936617617,8.109821118,8.109821118,7.14819965,576480.7,,8825.3,-86835.5
