country,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA,NAFTA
subject,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P51,P51,P51,P51,P51,P51,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,POPNC,RB1_GE,RB1_GE
measure,CPCARSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,PERSA,CPCARSA,VPVOBARSA
unit,US Dollar,Index,Percentage,Percentage,US Dollar,US Dollar,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Index,Percentage,Percentage,Index,US Dollar,Persons,US Dollar,US Dollar
powercode,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Millions,Thousands,Millions,Millions
reference_period,,2015,,,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,2015,,,2015,2015,,,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-Q1,633826.1,,,,,,,,398274.8,,,,,,96291.2,,,,,,141350.5,,,,,,39484.4,,,,,,34706.1,,,,,,,-6868.7,
1961-Q2,646138.3,,,,,,,,404325.8,,,,,,98620.4,,,,,,141170.1,,,,,,38570.7,,,,,,34957.9,,,,,,,-1590.8,
1961-Q3,660087.1,,,,,,,,408423.2,,,,,,100420.4,,,,,,144954.4,,,,,,40235.6,,,,,,36644.1,,,,,,,2697.6,
1961-Q4,674484.0,,,,,,,,416439.2,,,,,,102325.1,,,,,,149915.6,,,,,,41269.1,,,,,,37819.8,,,,,,,2354.8,
1962-Q1,690139.7,16.1,,,,,19.4,4273848.6,423202.5,16.7,,,17.3,2534980.5,105844.7,9.5,,,34.6,1113469.9,152543.6,21.0,,,15.8,726280.0,41402.5,24.3,,,4.8,170709.8,38424.2,20.8,,,4.4,184936.2,,5570.6,-86655.3
1962-Q2,697505.3,16.2,0.898985,,,,19.6,4312269.9,429666.1,16.8,1.150617147,,17.5,2564148.4,107650.1,9.5,1.513104325,,35.1,1130317.8,155267.8,21.1,1.426027004,,16.0,736636.9,42904.7,24.1,4.203088125,,5.0,177884.9,38919.3,20.9,0.762927066,,4.5,186347.1,,935.9,-110371.0
