country,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU
subject,B11,B11,B11,B11,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVK,B1GVL,B1GVL,B1GVL,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVR_U,B1GVR_U,B1GVR_U,B1G_P119,B1G_P119,B1G_P119,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GS1,B5_GS1,B8GS1,D1_D4FRS2,D1_D4NFRS2,D1_D4TOS2,D21_D31,D21_D31,D21_D31,D5_D7TOS2,P119,P119,P119,P3,P3,P3,P3,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S1,P3S13,P3S13,P3S13,P3S13,P3_P5,P3_P5,P3_P51,P3_P51,P3_P6,P3_P6,P5,P5,P5,P5,P51,P51,P51,P51,P52_P53,P52_P53,P52_P53,P52_P53,P5S1,P6,P6,P6,P6,P61,P61,P62,P62,P7,P7,P7,P7,P71,P71,P72,P72,POPNC,PPPGDP,RB1_GA,RB1_GA,RB1_GA,RB1_GE,RB1_GE,RB1_GE,RB1_GE
measure,CQR,CQRSA,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQR,CQR,CQR,CQR,CQR,CQR,VNBQR,VNBQRSA,CQR,CQR,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,CQR,CQRSA,CQR,CQRSA,VNBQR,VNBQRSA,CQR,CQRSA,CQR,CQRSA,PER,CD,CQR,VNBQR,VNBQRSA,CQR,CQRSA,VNBQR,VNBQRSA
unit,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,US Dollar,Saudi Riyal,Saudi Riyal,Index,Percentage,Percentage,US Dollar,US Dollar,Index,Saudi Riyal,Saudi Riyal,Saudi Riyal,US Dollar,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Persons,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Billions,Millions,Millions,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Billions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Thousands,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions
reference_period,,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,,,,2015,,,,2015,2015,2010,2010,2015,2015,,,,,,,,2010,2010,,,2010,2010,,,2010,2010,,,2010,2010,,,,2010,2010,,2010,,2010,,2010,,,2010,2010,,,2010,2010,,,2010,2010,,,,2010,2010,,,,,,,2010,2010,,,,,,,,2010,2010,,,2010,2010
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84623,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80003,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77988,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74915,,,,,,,
