country,G-20,G-20,G-20,G-20,G-20,G-20
subject,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE
measure,CPCARSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA
unit,US Dollar,Index,Percentage,Percentage,Index,US Dollar
powercode,Millions,Units,Units,Units,Units,Millions
reference_period,,2015,,,2015,2015
time,,,,,,
1997,34312695.8,71.3,,,54.0,48126689.8
1998,35423091.4,71.8,2.50957,2.50957,55.3,49334463.9
1999,37242527.5,72.8,3.70031,3.70031,57.4,51159990.1
2000,39903478.6,74.5,4.7029,4.7029,60.1,53565991.0
2001,41802554.2,76.3,2.23725,2.23725,61.4,54764393.4
2002,43812578.5,77.9,2.63446,2.63446,63.0,56207140.7
2003,46165464.9,79.4,3.39804,3.39804,65.2,58117083.9
2004,49571388.8,81.5,4.65402,4.65402,68.2,60821862.1
2005,53280479.9,83.8,4.49516,4.49516,71.3,63555901.3
2006,58220073.6,87.2,5.03434,5.03434,74.8,66755520.4
2007,62962313.9,89.7,5.19511,5.19511,78.7,70223540.1
2008,66790179.2,92.6,2.7033,2.7033,80.9,72121891.9
2009,66996449.7,93.7,-0.83411,-0.83411,80.2,71520317.4
2010,71259481.3,94.6,5.28101,5.28101,84.4,75297310.6
2011,75794301.8,96.8,4.03546,4.03546,87.8,78335902.0
2012,79499770.5,98.5,3.05476,3.05476,90.5,80728874.4
2013,83448558.8,100.1,3.28392,3.28392,93.5,83379946.1
2014,86693609.9,100.5,3.41026,3.41026,96.7,86223421.2
2015,89199392.1,100.0,3.45146,3.45146,100.0,89199392.1
2016,92826034.6,100.8,3.21413,3.21413,103.2,92066374.6
2017,97717102.6,102.3,3.71356,3.71356,107.0,95485315.0
2018,103888911.2,105.0,3.64809,3.64809,111.0,98968704.5
2019,108521233.9,106.6,2.88281,2.88281,114.2,101821781.5
2020,106516754.9,108.1,-3.2358,-3.2358,110.5,98527027.6
