country,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD,OECD
subject,B11,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P51,P51,P51,P51,P51,P51,P51,P52_P53,P6,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,P7,POPNC,POPNC,RB1_GE,RB1_GE
measure,CTQRGPSA,CPCARSA,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CTQRGPSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,CPCARSA,CTQRGPSA,DOBSA,GPSA,GYSA,VIXOBSA,VPVOBARSA,PER,PERSA,CPCARSA,VPVOBARSA
unit,Percentage points,US Dollar,Index,Percentage,Percentage,US Dollar,US Dollar,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,Percentage points,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,US Dollar,Percentage points,Index,Percentage,Percentage,Index,US Dollar,Persons,Persons,US Dollar,US Dollar
powercode,Units,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Units,Millions,Units,Units,Units,Units,Units,Millions,Millions,Units,Units,Units,Units,Units,Millions,Thousands,Thousands,Millions,Millions
reference_period,,,2015,,,,,2015,2015,,,2015,,,2015,2015,,,2015,,,2015,2015,,,2015,,,2015,2015,,,,2015,,,2015,2015,,,2015,,,2015,2015,,,,2015
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,,1592639.4,15.6,,,,,18.9,10178916.3,967511.0,,16.2,,,18.4,5957727.6,224581.2,,9.4,,,25.7,2400851.5,391218.8,,19.8,,,16.9,1977441.8,,185957.4,,28.4,,,4.3,653957.0,190605.0,,26.4,,,4.8,721600.2,,,13975.9,-89461.4
1962,,1706018.8,15.9,5.707334655,5.707334655,,,20.0,10759861.1,1033028.7,,16.4,5.50520056,5.50520056,19.4,6285712.4,246415.0,,9.7,6.288566791,6.288566791,27.4,2551830.7,422160.5,,19.9,7.279693663,7.279693663,18.2,2121393.5,,194897.0,,28.2,5.684524221,5.684524221,4.5,691131.4,201371.6,,25.9,7.553886189,7.553886189,5.1,776109.1,,,10889.3,-114097.8
1963,,1817298.8,16.1,5.230249335,5.230249335,,,21.0,11322628.7,1101420.6,,16.6,5.48794296,5.48794296,20.5,6630668.7,264618.5,,9.9,4.735011218,4.735011218,28.6,2672660.1,450571.0,,20.0,6.100454227,6.100454227,19.3,2250808.2,,207687.8,,28.3,6.032921364,6.032921364,4.8,732826.8,217890.0,,26.1,7.698872128,7.698872128,5.5,835860.8,,,10890.8,-128474.4
1964,,1962794.6,16.3,6.371930414,6.371930414,,,22.4,12044098.7,1176328.2,,16.8,5.669846249,5.669846249,21.6,7006617.5,281488.1,,10.2,2.987095249,2.987095249,29.5,2752495.0,496660.6,,20.1,9.63161864,9.63161864,21.1,2467597.4,,228853.9,,28.4,10.070102919,10.070102919,5.3,806623.2,237647.4,,26.0,9.544176141,9.544176141,6.0,915636.8,,,17111.2,-73597.6
