country,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA
subject,B11,B11,B11,B11,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVK,B1GVL,B1GVL,B1GVL,B1GVM_N,B1GVM_N,B1GVM_N,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GS1,B5_GS1,B6GS1,B8GS1,B9S1,D1_D4NFRS2,D21_D31,D21_D31,D5_D7NFRS2,D9NFRS2,K2S1,P3,P3,P3,P3,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P31S14_S15,P3S1,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P3S13,P5,P5,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P51,P52_P53,P52_P53,P5S1,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P6,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,P7,PPPGDP,RB1_GE,RB1_GE,RB1_GE,RB1_GE,RB9S1
measure,CQR,CQRSA,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CQR,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQR,CQR,CQR,CQR,CQR,CQR,LNBQR,CQR,CQR,CQR,CQR,CQRSA,LNBQR,LNBQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CQR,CQRSA,CQR,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CARSA,CPCARSA,CQR,CQRSA,DOBSA,GPSA,GYSA,LNBQR,LNBQRSA,VIXOBSA,VOBARSA,VPVOBARSA,CD,CARSA,CQR,CQRSA,VOBARSA,CQR
unit,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Index,Percentage,Percentage,Brazilian Real,Brazilian Real,Index,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Index,Percentage,Percentage,Brazilian Real,Brazilian Real,Index,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Index,Percentage,Percentage,Brazilian Real,Brazilian Real,Index,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Index,Percentage,Percentage,Brazilian Real,Brazilian Real,Index,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Index,Percentage,Percentage,Brazilian Real,Brazilian Real,Index,Brazilian Real,US Dollar,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Index,Percentage,Percentage,Brazilian Real,Brazilian Real,Index,Brazilian Real,US Dollar,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real,Brazilian Real
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Units,Millions,Millions,Units,Millions,Millions,Units,Millions,Millions,Millions,Millions,Millions
reference_period,,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,1995,1995,,,,,2015,,,1995,1995,2015,2015,2015,,,,,,,,1995,,,,,,1995,1995,,,,,2015,,,1995,1995,2015,2015,2015,,,,,,2015,,,1995,1995,2015,2015,2015,,,,,,,2015,,,1995,1995,2015,2015,2015,,,,,,,,2015,,,1995,1995,2015,2015,2015,,,,,2015,,,1995,1995,2015,2015,2015,,,,,2015,
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675057.5,,,,,,,,,,,,,,,,,,,,,,,,,,,421750.2,,,,,,,,,,,,,142298.4,,,,,,,,,,,,,,144230.3,,,,,,,,,,,,,,,48617.6,,,,,,,,,,,,63850.6,,,,,,,,,,,,,-17988.3,,,,
1995-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,438497.1,,,,,,,,,,,,,145655.6,,,,,,,,,,,,,,146606.4,,,,,,,,,,,,,,,51561.6,,,,,,,,,,,,71119.4,,,,,,,,,,,,,-13336.3,,,,
1995-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727294.6,,,,,,,,,,,,,,,,,,,,,,,,,,,455850.3,,,,,,,,,,,,,149082.6,,,,,,,,,,,,,,142751.7,,,,,,,,,,,,,,,55319.8,,,,,,,,,,,,65955.5,,,,,,,,,,,,,-9754.3,,,,
1995-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758459.7,,,,,,,,,,,,,,,,,,,,,,,,,,,482950.0,,,,,,,,,,,,,153966.5,,,,,,,,,,,,,,145170.6,,,,,,,,,,,,,,,57114.5,,,,,,,,,,,,66097.1,,,,,,,,,,,,,-14644.8,,,,
