country,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN,CHN
subject,B1G,B1GVA,B1GVB_E,B1GVC,B1GVF,B1GVG_I,B1GVG_U,B1GVJ,B1GVK,B1GVL,B1GVM_N,B1GVR_U,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,PPPGDP
measure,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,CQR,VNBQR,CQR,GPSA,GYSA,VNBQR,CD
unit,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Yuan Renminbi,Percentage,Percentage,Yuan Renminbi,Yuan Renminbi
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Units,Units,Millions,Units
reference_period,,,,,,,,,,,,,,2020,,,,2020,
time,,,,,,,,,,,,,,,,,,,
2013-Q3,15222270.0,1636700.0,5588210.0,,1118800.0,2347150.0,6878570.0,,1031990.0,876130.0,,2623300.0,15222270.0,17106916.6,15222270.0,2.1,7.9,17106916.6,3.67687
2013-Q4,16777230.0,2044710.0,6105750.0,,1350490.0,2551430.0,7276290.0,,1038080.0,985090.0,,2701690.0,16777230.0,18924845.3,16777230.0,1.5,7.7,18924845.3,3.70639
2014-Q1,14075980.0,742850.0,5265950.0,,676470.0,2358670.0,7390710.0,,1181510.0,887690.0,,2962840.0,14075980.0,15863863.0,14075980.0,1.9,7.5,15863863.0,3.7197
2014-Q2,15648960.0,1150060.0,5843230.0,,1135540.0,2503920.0,7520130.0,,1137770.0,918860.0,,2959580.0,15648960.0,17583436.0,15648960.0,1.8,7.6,17583436.0,3.73969
2014-Q3,16548470.0,1737100.0,5890400.0,,1240000.0,2608120.0,7680980.0,,1162070.0,933250.0,,2977540.0,16548470.0,18347105.2,16548470.0,1.8,7.2,18347105.2,3.77258
2014-Q4,18082890.0,2117210.0,6320150.0,,1488150.0,2822650.0,8157370.0,,1203990.0,1068840.0,,3061890.0,18082890.0,20312631.3,18082890.0,1.7,7.3,20312631.3,3.80342
2015-Q1,15113790.0,768680.0,5347110.0,4506660.0,735090.0,2533620.0,8262900.0,448510.0,1411040.0,945740.0,425200.0,2498790.0,15113790.0,16995924.4,15113790.0,1.9,7.1,16995924.4,3.83976
2015-Q2,16854970.0,1229620.0,5932790.0,5049330.0,1197290.0,2683620.0,8495270.0,452400.0,1397800.0,1045930.0,428260.0,2487260.0,16854970.0,18836619.4,16854970.0,1.8,7.1,18836619.4,3.86295
2015-Q3,17659770.0,1773920.0,5899300.0,4981980.0,1288350.0,2803370.0,8698200.0,404860.0,1405750.0,1065190.0,467120.0,2551910.0,17659770.0,19630051.1,17659770.0,1.7,7.0,19630051.1,3.8769
2015-Q4,19257290.0,2213040.0,6317690.0,5405630.0,1555390.0,3033920.0,9171170.0,445910.0,1415390.0,1200530.0,488390.0,2587030.0,19257290.0,21721738.3,19257290.0,1.7,6.9,21721738.3,3.90318
