country,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU,SAU
subject,B11,B11,B1G,B1G,B1G,B1GVA,B1GVA,B1GVA,B1GVB_E,B1GVB_E,B1GVB_E,B1GVC,B1GVC,B1GVC,B1GVF,B1GVF,B1GVF,B1GVG_I,B1GVG_I,B1GVG_I,B1GVG_U,B1GVG_U,B1GVG_U,B1GVJ,B1GVJ,B1GVJ,B1GVK,B1GVK,B1GVK,B1GVL,B1GVL,B1GVL,B1GVO_Q,B1GVO_Q,B1GVO_Q,B1GVR_U,B1GVR_U,B1GVR_U,B1G_P119,B1G_P119,B1G_P119,B1_GA,B1_GA,B1_GA,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GE,B1_GS1,B5_GS1,B8GS1,D1_D4FRS2,D1_D4NFRS2,D1_D4TOS2,D21_D31,D21_D31,D21_D31,D5_D7TOS2,P119,P119,P119,P3,P3,P31S14_S15,P31S14_S15,P3S1,P3S13,P3S13,P3_P5,P3_P5,P3_P51,P3_P51,P3_P6,P3_P6,P5,P5,P51,P51,P52_P53,P52_P53,P5S1,P6,P6,P61,P62,P7,P7,P71,P72,POPNC,PPPGDP,RB1_GA,RB1_GA,RB1_GA,RB1_GE,RB1_GE
measure,CQR,VNBQR,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CQR,VNBQR,VNBQRSA,CARSA,CPCARSA,CQR,DOBSA,GPSA,GYSA,HCPCARSA,HVPVOBARSA,VIXOBSA,VNBQR,VNBQRSA,VOBARSA,VPVOBARSA,CQR,CQR,CQR,CQR,CQR,CQR,CQR,VNBQR,VNBQRSA,CQR,CQR,VNBQR,VNBQRSA,CQR,VNBQR,CQR,VNBQR,CQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,VNBQR,CQR,CQR,VNBQR,CQR,CQR,CQR,VNBQR,CQR,CQR,PER,CD,CQR,VNBQR,VNBQRSA,CQR,VNBQR
unit,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,US Dollar,Saudi Riyal,Index,Percentage,Percentage,US Dollar,US Dollar,Index,Saudi Riyal,Saudi Riyal,Saudi Riyal,US Dollar,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Persons,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal,Saudi Riyal
powercode,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Billions,Millions,Millions,Units,Units,Units,Units,Units,Units,Millions,Millions,Billions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Thousands,Units,Millions,Millions,Millions,Millions,Millions
reference_period,,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,2010,2010,,,,2015,,,,2015,2015,2010,2010,2015,2015,,,,,,,,2010,2010,,,2010,2010,,2010,,2010,,,2010,,2010,,2010,,2010,,2010,,2010,,2010,,,2010,,,,2010,,,,,,2010,2010,,2010
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-Q1,83445.0,,,,,9910.2,,,,,,27019.6,,,14624.2,,,20822.8,,,59714.5,,,11351.6,,,14561.4,,,12978.7,,,,,,,,,,,,279776.7,,,,,279776.7,,,,,,,,,,,279776.7,,,,,,,,,,4352.3,,,137376.2,,78881.2,,,58495.0,,196331.7,,195552.7,,349140.7,,58955.5,,58176.5,,779.0,,,152809.0,,143192.0,9617.0,69364.0,,51912.0,17452.0,,,,,,779.0,
2005-Q2,90249.0,,,,,10306.6,,,,,,29150.9,,,15178.8,,,17738.0,,,55278.4,,,10480.1,,,14029.3,,,13031.0,,,,,,,,,,,,300987.1,,,,,300987.1,,,,,,,,,,,300987.1,,,,,,,,,,4193.2,,,148221.8,,82952.8,,,65269.0,,210738.1,,208101.1,,378982.1,,62516.3,,59879.3,,2637.0,,,168244.0,,165076.0,3168.0,77995.0,,57089.0,20906.0,,,,,,2637.0,
2005-Q3,116511.0,,,,,10623.7,,,,,,30503.7,,,14565.8,,,18509.2,,,55522.7,,,10436.5,,,13441.3,,,13135.7,,,,,,,,,,,,322050.7,,,,,322050.7,,,,,,,,,,,322050.7,,,,,,,,,,4017.5,,,148024.8,,83214.8,,,64810.0,,205539.7,,203310.7,,399410.7,,57514.9,,55285.9,,2229.0,,,193871.0,,188409.0,5462.0,77360.0,,55647.0,21713.0,,,,,,2229.0,
2005-Q4,105456.0,,,,,8800.3,,,,,,30792.1,,,14011.2,,,20051.6,,,58521.0,,,11308.1,,,13973.3,,,13188.0,,,,,,,,,,,,327956.9,,,,,327956.9,,,,,,,,,,,327956.9,,,,,,,,,,4176.5,,,153181.4,,79105.4,,,74076.0,,222500.9,,217529.9,,409740.9,,69319.6,,64348.6,,4971.0,,,187240.0,,180467.0,6773.0,81784.0,,58337.0,23447.0,,,,,,4971.0,
